"16Personalities Quiz.  You will need to first take the quiz located at https://www.16personalities.com/. This quiz will take about 10 miinutes. Select your personality letters below. E.g. ENTJ-A, INTP-A, etc.",Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Reusable_Water_Bottle,Meals_Delivery_Service_Percent,Ride_Share_Percent
ISFJ-A,Business Administration,,Applied Analytics,,No,2024,Junior,3.98,16,No,No,Work,Finance: IB/Bokerage,Finance Management,1-4,No,No,Yes,No,No,No,4,0%,Yes,30-40%,20-30%,≤ 10%,Yes,10-20%,4,Female,21,US,60015,No,1,News Sites. (e.g. Wall Street Journal,Yes,Yes,No,Yes,25%,25%
ISFJ-A,Business Administration,,Applied Analytics,,No,2024,Junior,3.98,16,No,No,Work,Finance: IB/Bokerage,Finance Management,1-4,No,No,Yes,No,No,No,4,0%,Yes,30-40%,20-30%,≤ 10%,Yes,10-20%,4,Female,21,US,60015,No,1,News Sites. (e.g. Wall Street Journal,Yes,Yes,No,Yes,25%,25%
INFJ-A,International Relations,,Applied Analytics m,,No,2023,Senior,3.97,15,No,No,Work,Finance:VC/Private Equities,Finance Management,1-4,No,No,Yes,Yes,Yes,No,3,0%,Yes,20-30%,10-20%,≤ 10%,Yes,20-30%,4,Male,22,US,94903,Yes,3,"News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,Yes,Yes,0%,0%
ESFP-A,Econ&Math,,Applied Analytics,,No,2023,Junior,3.7,20,No,Yes,Graduate School,Finance: FinTech,Finance Management,1-4,No,No,No,No,No,Yes,3,0%,No,≤ 10%,20-30%,≤ 10%,Depends,30-40%,3,Male,20,CN,N,No,2,"Tiktok,Youtube,Google News",Yes,No,No,No,25%,0%
ENFP-T,Business Administration,,Applied Analytics,,Planning on joining.,2023,Senior,3.66,18,"Yes, from a 2 year college.",No,Still Deciding,Finance: FinTech,Finance Management,1-4,No,No,Yes,Yes,Yes,No,4,0%,Yes,≤ 10%,30-40%,30-40%,Yes,30-40%,5,Female,21,US,90274,Yes,3,"Instagram,Snapchat,Facebook,Twitter,Tiktok,Youtube,News Sites. (e.g. Wall Street Journal",Yes,Yes,Yes,Yes,25%,50%
ENTP-A,Applied and Computational Mathematics,,Applied Analytics,,No,2023,Junior,3.91,16,No,Yes,Work,Technology: Software/Internet,Information and Communications Technology,0,No,No,No,Yes,No,No,3,0%,Yes,10-20%,10-20%,≤ 10%,Depends,20-30%,4,Male,22,CN,N/A,Yes,2,"News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,No,Yes,0%,0%
ESTJ-A,Business Adminstration (Business Analysis),,Applied Analytics,,No,2023,Senior,3.3,18,"Yes, from a 4 year college.",No,Still Deciding,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",0,No,No,No,No,No,No,3,0%,Yes,10-20%,20-30%,10-20%,Yes,>50%,3,Male,21,US,91108,Yes,2,"Instagram,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,0%,25%
INFJ-A,Business Administration,,Applied Analytics,,No,2023,Junior,3.68,14,No,Yes,Graduate School,Consulting,Business/Corporate Services,0,No,No,Yes,Yes,No,No,4,0%,Yes,≤ 10%,20-30%,10-20%,Yes,≤ 10%,5,Female,20,CN,N/A,No,2,"Instagram,Google News,News Sites. (e.g. Wall Street Journal,Other",Yes,Yes,No,Yes,25%,0%
INFJ-A,International Relations ,,Applied Analytics ,,No,2023,Senior,3.78,14,No,No,Work,Education,Administration/Office Work,1-4,No,No,No,No,No,No,4,0%,Yes,30-40%,30-40%,20-30%,Yes,20-30%,4,Female,21,US,21784,No,2,"Instagram,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,Yes,No,Yes,25%,50%
ENFP-T,Economics,,Applied Analytics ,,No,2023,Senior,3.67,15,No,No,Work,Consulting,Operations Management,1-4,Yes,No,No,Yes,No,No,4,0%,No,≤ 10%,> 50%,10-20%,Depends,20-30%,4,Female,21,US,30092,No,1,"Twitter,Tiktok,News Sites. (e.g. Wall Street Journal",Yes,No,Yes,Yes,25%,25%
